OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
204254,4.90E+11,4.90E+11,49,41,975300,1,,,,,0,0,0,33071.83904,0,33071.83904,1655.77086,1006,413,346,0.549,0,0,56,0.161849711,290,0.838150289,557,216,154,187,0.387791741,389,50,60,55,209,15,50,13,55,39,15,48,122,47,112,127,150,0.287917738,0.249430649,0.607571992,0.23493589,0.030197415,0.036236898,0.033217157,0.126225195,0.009059225,0.030197415,0.007851328,0.033217157,0.023553984,0.009059225,0.028989519,0.073681693,0.02838557,0.484366538,0,1.124277457,0.800226053,0.800226053,0.90754881,0.90754881,0.76632252,0.655702003,0.704573269,0.575237905,0,0,1.431876607,0.64928949,1.057518981,0.248767415,0.042513271,0.766238295,1.238902982,0.058055435,0.193518116,0.154814493,0.967590582,0.309628986,-99999,0,0,-99999,-99999,-99999,2600,2847,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,18,20,2,1,7.333333333,64833.06044,133839920
204255,4.90E+11,4.90E+11,49,41,975500,2,,,,,0,0,0,194610.0847,150.9469654,194459.1377,36469.73355,1158,455,352,0.509,1,0.002840909,72,0.204545455,279,0.792613636,422,138,154,130,0.327014218,71,4,5,57,5,0,4,0,57,2,0,0,3,5,21,37,13,0.295774648,0.012476099,0.031752357,0.00194682,0.00010968,0.0001371,0.00156294,0.0001371,0,0.00010968,0,0.00156294,5.48E-05,0,0,8.23E-05,0.0001371,0.014422919,0,0.201704545,0.513648125,0.442432413,0.471880699,0.365224351,0.355390038,0.224391966,0.17775404,8.20E-05,0,0,5.943661972,0.007128446,1.442721017,0.211449878,0.087704486,1.143566654,1.101900186,0.108608936,0.111900116,0.026329439,1.244065992,0.171141353,-99999,0,0,-99999,-99999,-99999,347,802,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,6,5,1,1,2.5,165433.6175,787576304.8
204256,4.90E+11,4.90E+11,49,5,702,1,,,30860,"Logan, UT-ID",135615,55707,64142,124.647124,0,124.647124,124.64712,156,63,63,0.859,0,0,16,0.253968254,47,0.746031746,44,20,15,9,0.454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50542684,1.251533128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50542684,0,0,0,0,0,0,0,0,0,0.367879441,0,1,0,0,14.32429813,0,0.758636136,13.565662,169.5153432,0,5.13449472,0,225.9177677,15.40348416,-99999,0,0,-99999,-99999,-99999,14141,14767,-99999,-99999,0.014242535,0.731860056,0.014148648,0.753802961,-99999,-99999,-99999,-99999,1,1,18,1,6.666666667,3085.66518,504438.9433
204257,4.90E+11,4.90E+11,49,49,3106,1,482,"Salt Lake City-Provo-Orem, UT",39340,"Provo-Orem, UT",601388,231279,261327,263.4849539,0,263.4849539,263.4849539,1372,377,358,0.546,10,0.027932961,71,0.198324022,277,0.773743017,651,184,254,213,0.282642089,146,0,0,9,137,0,0,0,9,22,0,0,115,0,62,62,22,0.424657534,1.430821739,5.207128452,0.554111337,0,0,0.034157548,0.519953789,0,0,0,0.034157548,0.083496229,0,0,0.43645756,0,1.984933076,0,0.407821229,0.333936063,0.143818434,0.587050789,0.310151162,0.608876396,0.394327627,0.430233686,0.926194916,0.192358366,0.366373902,4.45890411,0.031464224,16.51241546,0,3.810338306,12.70207715,72.08973309,0,9.715924807,2.428981202,80.15637966,9.715924807,-99999,0,0,2.67,6.485379809,0.001946064,25828,28446,-99999,-99999,0.001890344,0.364611714,0.002208481,0.431091444,-99999,-99999,-99999,-99999,14,4,12,1,7.333333333,5264.257831,1066305.933
204258,4.90E+11,4.90E+11,49,5,600,4,,,30860,"Logan, UT-ID",135615,55707,64142,78.1463634,0,78.1463634,77.09575,1600,457,409,0.732,0,0,80,0.195599022,329,0.804400978,387,167,141,79,0.431524548,28,0,9,3,6,10,0,9,3,6,10,0,0,0,17,10,1,0.607142857,5.927693809,20.75341377,0.363184741,0,0.116737952,0.038912651,0.077825302,0.129708836,0,0.116737952,0.038912651,0.077825302,0.129708836,0,0,0,6.29087855,0,0.068459658,0.93915481,0.808943922,0.93915481,0.626103207,0.199728672,0.268180359,0.293287191,0.002652631,0.034398034,0.134939759,13.82142857,2.70E-06,30.4578203,0,1.728367322,28.72945298,338.6465966,0,8.189760498,16.379521,401.2982644,49.13856299,-99999,0,0,-99999,-99999,-99999,17906,18124,-99999,-99999,0.018034568,0.926715661,0.017365077,0.925165901,-99999,-99999,-99999,-99999,3,13,20,1,9.666666667,2433.460138,316254.3343
204259,4.90E+11,4.90E+11,49,35,112617,1,482,"Salt Lake City-Provo-Orem, UT",41620,"Salt Lake City, UT",1185990,689888,583540,122.2282621,0,122.2282621,120.88119,1216,352,352,0.596,0,0,9,0.025568182,343,0.974431818,700,167,172,361,0.238571429,606,0,30,15,6,555,0,6,15,6,555,0,0,24,443,73,90,0.731023102,2.911950155,10.05946417,5.013186915,0,0.24817757,0.124088785,0.049635514,4.591285046,0,0.049635514,0.124088785,0.049635514,4.591285046,0,0,0.198542056,7.925137071,0,1.721590909,0.264416406,0.227755895,0.243147851,0.188190609,0.552645296,0.262136111,0.28692751,0.431793405,0.665203074,0.928024502,1.155115512,0.856316257,22.31730858,0,0,22.31730858,113.4978094,0,0,0,146.6109367,15.70831465,-99999,0,0,-99999,-99999,-99999,84995,76463,-99999,-99999,0.001431457,0.557706314,0.001578325,0.678152051,-99999,-99999,-99999,-99999,12,2,15,1,7.666666667,3200.333727,494652.7922
204260,4.90E+11,4.90E+11,49,35,111002,3,482,"Salt Lake City-Provo-Orem, UT",41620,"Salt Lake City, UT",1185990,689888,583540,429.0431894,0,429.0431894,419.56278,1596,512,495,0.577,0,0,45,0.090909091,450,0.909090909,739,171,191,377,0.231393775,8885,228,3250,547,4380,480,228,3250,547,4073,480,77,230,0,1511,2259,5115,0.170061902,1.22031797,3.803959922,21.17680696,0.543422846,7.74615899,1.303738144,10.43943888,1.144048097,0.543422846,7.74615899,1.303738144,9.707724789,1.144048097,0.183524382,0.548189713,0,22.39712493,0,17.94949495,0.708214645,0.708214645,0.660071698,0.617685177,0.717883184,0.47650024,0.510338936,0.379692155,0.304551092,0.153574397,0.083173889,0.399785905,19.59128888,1.321779462,2.955157813,15.3143516,79.5876985,2.983382633,19.39198711,8.950147899,73.0928745,8.950147899,118.02,0,0,6.67,9.949581081,0.004179198,88495,73664,51105,38609,0.001490403,0.580672043,0.001520549,0.653327657,0.001077248,0.160857782,0.00131614,0.205648147,17,12,12,20,15.5,7421.037013,1736310.986
204261,4.90E+11,4.90E+11,49,35,112805,1,482,"Salt Lake City-Provo-Orem, UT",41620,"Salt Lake City, UT",1185990,689888,583540,205.8696353,0,205.8696353,205.86964,2028,584,539,0.622,0,0,74,0.13729128,465,0.86270872,1079,265,296,518,0.245597776,168,0,8,12,148,0,0,8,12,11,0,80,57,0,46,67,55,0.273809524,2.836746594,9.850893993,0.81605039,0,0.038859542,0.058289314,0.718901534,0,0,0.038859542,0.058289314,0.053431871,0,0.388595424,0.276874239,0,3.652796984,0,0.311688312,0.40518714,0.276583251,0.765494386,0.592474307,0.471834902,0.398531685,0.434664119,0.756612362,0.153005464,0.269446672,6.422619048,0.004415567,22.68239683,0,3.489350206,19.19304662,121.2884064,0,21.76134423,6.217526922,118.1330115,21.76134423,453.3,0,0.020048575,1,3.108763461,0.000493097,83774,75201,1830,4707,0.001410894,0.549694556,0.001552275,0.666959344,3.86E-05,0.005760097,0.000160457,0.025071507,9,11,16,16,14,3824.582035,833141.7568
204262,4.90E+11,4.90E+11,49,35,111904,3,482,"Salt Lake City-Provo-Orem, UT",41620,"Salt Lake City, UT",1185990,689888,583540,85.6611686,0,85.6611686,85.6611686,1271,764,679,0.651,170,0.250368189,315,0.463917526,194,0.285714286,609,137,222,250,0.224958949,656,272,38,13,305,28,272,38,13,98,28,0,207,0,151,318,187,0.230182927,8.918860348,14.83752814,7.658079042,3.175301066,0.443608237,0.151760713,3.560539799,0.326869227,3.175301066,0.443608237,0.151760713,1.144042296,0.326869227,0,2.416497503,0,16.57693939,0,0.966126657,0.682496533,0.682496533,0.775968914,0.668616848,0.688013375,0.701459614,0.776534609,0.574091588,0.680851064,0.96284585,0.928353659,0.930860044,27.01273842,0,4.225403822,22.7873346,199.3192514,0,97.12685615,7.471296627,156.8972292,22.41388988,862.34,0,0,8,59.77037301,0.006294256,102453,77545,98149,58608,0.001725479,0.672259368,0.001600659,0.687748333,0.002068893,0.308933186,0.001997884,0.312171426,16,14,19,13,15.66666667,2940.88274,346666.839
204263,4.90E+11,4.90E+11,49,35,112823,3,482,"Salt Lake City-Provo-Orem, UT",41620,"Salt Lake City, UT",1185990,689888,583540,552.0779859,0,552.0779859,552.0779859,2408,946,863,0.577,10,0.011587486,332,0.384704519,521,0.603707995,925,224,257,444,0.242162162,2824,508,258,119,1150,789,508,258,119,498,789,298,354,0,1270,992,562,0.449716714,1.713526031,4.361702624,5.115219357,0.920159856,0.467325281,0.215549258,2.083039044,1.429145918,0.920159856,0.467325281,0.215549258,0.902046473,1.429145918,0.539778813,0.641213758,0,6.828745388,0,3.27230591,0.859155156,0.859155156,0.935572756,0.875494927,0.894787196,0.716394971,0.788347592,0.413168831,0.920489297,0.493464924,0.327549575,0.510456209,20.17182329,0.58576939,3.415062883,16.17099102,143.4151008,5.796282557,23.18513023,12.75182163,137.9515249,23.18513023,1001.82,0.123973568,0.423604103,7,8.11479558,0.002906977,92285,79076,10785,8176,0.001554233,0.605540646,0.001632262,0.701326806,0.000227338,0.033946799,0.000278711,0.043548894,20,20,17,13,16.66666667,6482.737816,2234227.853
204264,4.90E+11,4.90E+11,49,35,112822,2,482,"Salt Lake City-Provo-Orem, UT",41620,"Salt Lake City, UT",1185990,689888,583540,252.9357607,0,252.9357607,252.9357607,2313,717,694,0.472,119,0.171469741,194,0.279538905,381,0.548991354,1074,278,293,503,0.258845438,292,48,11,66,167,0,48,11,66,54,0,0,113,0,127,112,53,0.434931507,2.834711857,9.144614402,1.154443323,0.189771505,0.043489303,0.26093582,0.660246695,0,0.189771505,0.043489303,0.26093582,0.213492943,0,0,0.446753752,0,3.98915518,0,0.42074928,0.776178415,0.668563697,0.892212365,0.690550986,0.575492861,0.531243128,0.563634385,0.824329154,0.224184261,0.427525622,3.678082192,0.068694771,19.95969987,0,3.99827612,15.96142375,82.68977049,0,22.77258061,12.65143367,78.43888877,2.530286735,529.74,0.095629,0.413637057,5,12.65143367,0.002161695,104372,92415,107775,59448,0.001757798,0.684851149,0.001907601,0.819630694,0.0022718,0.339231924,0.002026519,0.316645627,12,15,13,15,13.83333333,4509.296808,1023617.312
204265,4.90E+11,4.90E+11,49,49,10109,2,482,"Salt Lake City-Provo-Orem, UT",39340,"Provo-Orem, UT",601388,231279,261327,1771.547126,2.1134463,1769.43368,1737.76354,4422,1093,1093,0.509,15,0.013723696,81,0.07410796,997,0.912168344,2031,507,486,1038,0.249630724,953,292,37,141,282,201,292,37,141,148,201,47,87,0,361,388,204,0.378803778,0.628969348,2.544650005,0.548406028,0.168032067,0.021291735,0.081138772,0.162277544,0.115665909,0.168032067,0.021291735,0.081138772,0.085166938,0.115665909,0.027046257,0.050064349,0,1.177375375,0,0.871912168,0.907057535,0.907057535,0.902249723,0.844311734,0.765049443,0.788781413,0.856500298,0.604579034,0.354604651,0.638739946,2.131164743,0.322657225,7.372577806,0.669923333,1.354462581,5.348191892,30.51426036,0.361697648,6.148860013,1.808488239,27.12732359,6.51055766,470.73,0,0,1,0.361697648,0.000226142,40893,40762,824,2007,0.002992947,0.577283058,0.003164666,0.617737096,0.000135077,0.011593714,0.000473059,0.044977814,18,20,7,16,14,14941.63636,7169357.019
